word_galician,translate_word_english,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,aoa_mean,aoa_sd,aoa_n
andar,walk,7.071428571428571,1.2066664642907572,14,4.538461538461538,2.665063620734804,13,6.916666666666667,1.928651593652147,12,7.454545454545454,2.6967994498529686,11,3.4166666666666665,1.5050420310248862,12
animal,animal,7.583333333333333,1.5642792899510285,12,5.705882352941177,2.568187733654632,17,8.285714285714286,1.0555973258234936,21,8.5,0.8548504142651103,14,3.5681818181818183,1.6782605404282258,22
aniversario,anniversary,8.571428571428571,0.6462061726588583,14,7.071428571428571,2.3358176204584034,14,5.230769230769231,2.385855756810896,13,5.777777777777778,3.192874010111336,9,6.214285714285714,3.0679126311040728,14
ano,year,6.090909090909091,1.2210278829367875,11,5.9,1.7740824166460332,20,5.4,3.157756889221932,15,5.785714285714286,2.887068553942707,14,4.130434782608695,2.2422461916992353,23
antigo,old,6.384615384615385,1.502135232397622,13,3.75,1.6025547785276542,12,4.9411764705882355,2.771971054937581,17,7.142857142857143,2.128044038212422,21,5.615384615384615,1.502135232397622,14
anual,annual,5.333333333333333,1.5569978883230466,12,4.928571428571429,2.2001498450467736,14,4.928571428571429,2.6736401493753137,14,4.153846153846154,2.444250186531439,13,8.347826086956522,3.0092085285635233,23
anuncio,announcement,4.666666666666667,1.8257418583505542,12,5.571428571428571,2.1380899352993956,14,5.642857142857143,2.097879620259204,14,7.538461538461538,1.9839096340048958,13,7.136363636363637,2.5689622612189336,23
anxo,angel,5.846153846153846,2.577018750615843,13,2.8,2.007130147392398,15,4.583333333333333,3.3967453227875044,12,6.571428571428571,3.0054894830904058,14,6.545454545454546,3.608551651514084,23
aparencia,appearance,5.285714285714286,2.1989008243131005,14,6.846153846153846,1.4051188470584892,13,3.8333333333333335,2.657180095628834,12,4.454545454545454,2.8412545244534626,11,8.333333333333334,3.4728383291777427,12
aparición,appearance,6.428571428571429,1.6967972416057495,14,5.5,2.195035721390843,12,3.3846153846153846,2.063106942552968,13,4.521739130434782,2.8423672147347907,23,8.357142857142858,2.4994504890580935,14
apartado,section,3.2222222222222223,1.986062547968831,9,4.571428571428571,1.9889806323953878,14,3.4285714285714284,2.3109866595589295,14,5.214285714285714,2.9659236835601983,14,6.7368421052631575,2.902912431472111,19
apelido,surname,6.846153846153846,1.2142318453899066,13,5.166666666666667,2.124888588879783,12,7.2727272727272725,2.5334130768948464,11,6.833333333333333,2.6911752530120068,12,4.642857142857143,2.3405174594567715,14
apertura,opening,6.5,1.286019499792345,14,5.538461538461538,1.8081014266989472,13,5.444444444444445,2.4037008503093262,9,5.857142857142857,2.656114653953224,14,7,2.5495097567963922,14
aplicación,application,5.583333333333333,2.644319239884671,12,6,1.889822365046136,15,6.142857142857143,2.5376289010728965,14,6.3478260869565215,1.8242980132387145,23,7.090909090909091,2.4477217961488167,23
apoio,support,8.538461538461538,0.6602252917735281,13,3.25,2.220769727328383,12,4.705882352941177,2.3917751222249377,17,5.333333333333333,2.5166114784235827,21,6.384615384615385,2.987151975222708,14
aposta,bet,4.642857142857143,2.619663597227202,14,6.615384615384615,1.502135232397622,13,4.333333333333333,3.1622776601683795,9,6,2.4806946917841692,14,9,3.012793235010175,14
aprendizaxe,learning,8.363636363636363,1.2862913567871979,11,6.5,1.5063966175050876,14,4.285714285714286,2.6726124191242433,14,4.3076923076923075,2.4961508830135313,13,6.6521739130434785,2.7404162864289257,23
aprobación,approval,7.153846153846154,1.5191090506255012,13,6.583333333333333,2.466441431158123,12,3.4545454545454546,2.3393860888547815,11,3.9166666666666665,2.1514618004482156,12,8.285714285714286,3.6040270516480577,14
árbore,tree,6.785714285714286,2.486225790494235,14,3,2.412090756622109,12,8.066666666666666,2.0165977949672222,15,8.785714285714286,0.8017837257372747,14,5.428571428571429,3.6955571781725762,23
area,sand,5.714285714285714,1.9386185179765916,14,3.0833333333333335,2.7122058561364044,12,6.923076923076923,2.9000442083279365,13,6.434782608695652,2.6769400264365917,23,6.6923076923076925,3.376008871054087,14
área,area,5.75,2.800162332956625,12,4.6,1.7237832147426697,15,4.857142857142857,2.5677629550654775,14,4.695652173913044,2.3439435032110008,23,8.130434782608695,3.034713522889419,23
argumento,argument,7.166666666666667,1.114640858045424,12,4.3076923076923075,2.0970064133034736,13,5.6521739130434785,2.569200364672634,23,4.714285714285714,2.1989008243131005,14,10.785714285714286,2.8059982846798706,14
arma,weapon,2.7142857142857144,2.920183646189487,14,7.521739130434782,2.042048107736029,23,7.785714285714286,2.00685637938357,14,7.083333333333333,2.745519766433814,12,7.666666666666667,3.5790395093549625,15
